"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","3","AVT Elective"
"AP 2-D Art and Design","4","3","AVT 104"
"AP 2-D Art and Design","5","3","AVT 104"
"AP 3-D Art and Design","3","3","AVT Elective"
"AP 3-D Art and Design","4","3","AVT 105"
"AP 3-D Art and Design","5","3","AVT 105"
"AP Art History","3","3","ARTH 200"
"AP Art History","4","6","ARTH 200, ARTH 201"
"AP Art History","5","6","ARTH 200, ARTH 201"
"AP Biology","3","3","BIOL 103"
"AP Biology","4","4","BIOL 103, BIOL 105"
"AP Biology","5","8","BIOL 103, BIOL 105, BIOL 102"
"AP Calculus AB","3","3","MATH 123"
"AP Calculus AB","4","4","MATH 113"
"AP Calculus AB","5","4","MATH 113"
"AP Calculus BC","3","3","MATH 123"
"AP Calculus BC","4","8","MATH 113, MATH 114"
"AP Calculus BC","5","8","MATH 113, MATH 114"
"AP Calculus BC: AB Subscore","3","3","MATH 123"
"AP Calculus BC: AB Subscore","4","4","MATH 113"
"AP Calculus BC: AB Subscore","5","4","MATH 113"
"AP Chemistry","3","4","CHEM 103"
"AP Chemistry","4","8","CHEM 211, CHEM 213"
"AP Chemistry","5","8","CHEM 211, CHEM 213"
"AP Chinese Language and Culture","3","6","CHIN 110"
"AP Chinese Language and Culture","4","9","CHIN 110, CHIN 201"
"AP Chinese Language and Culture","5","12","CHIN 110, CHIN 201, CHIN 202"
"AP Comparative Government and Politics","3","3","GOVT 133"
"AP Comparative Government and Politics","4","3","GOVT 133"
"AP Comparative Government and Politics","5","3","GOVT 133"
"AP Computer Science A","3","4","CS Elective"
"AP Computer Science A","4","4","CS 112"
"AP Computer Science A","5","4","CS 112"
"AP Computer Science Principles","3","3","CS Elective"
"AP Computer Science Principles","4","3","CS 100"
"AP Computer Science Principles","5","3","CS 100"
"AP Drawing","3","3","AVT Elective"
"AP Drawing","4","3","AVT 222"
"AP Drawing","5","3","AVT 222"
"AP English Language and Composition","4","3","ENGH 101"
"AP English Language and Composition","5","6","ENGH 101, ENGH 201"
"AP English Literature and Composition","4","3","ENGH 101"
"AP English Literature and Composition","5","6","ENGH 101, ENGH 202"
"AP Environmental Science","3","4","EVPP 108, EVPP 109"
"AP Environmental Science","4","8","EVPP 108, EVPP 109, EVPP 112, EVPP 113"
"AP Environmental Science","5","8","EVPP 108, EVPP 109, EVPP 112, EVPP 113"
"AP European History","3","3","HIST 100"
"AP European History","4","6","HIST 100, HIST L388"
"AP European History","5","6","HIST 100, HIST L388"
"AP French Language and Culture","3","6","FREN 110"
"AP French Language and Culture","4","9","FREN 110, FREN 201"
"AP French Language and Culture","5","12","FREN 110, FREN 201, FREN 202"
"AP German Language and Culture","3","6","GERM 110"
"AP German Language and Culture","4","9","GERM 110, GERM 201"
"AP German Language and Culture","5","12","GERM 110, GERM 201, GERM 202"
"AP Human Geography","3","3","GGS 103"
"AP Human Geography","4","6","GGS 101, GGS 103"
"AP Human Geography","5","6","GGS 101, GGS 103"
"AP Italian Language and Culture","3","6","ITAL 110"
"AP Italian Language and Culture","4","9","ITAL 110, ITAL 201"
"AP Italian Language and Culture","5","12","ITAL 110, ITAL 201, ITAL 202"
"AP Japanese Language and Culture","3","6","JAPA 110"
"AP Japanese Language and Culture","4","9","JAPA 110, JAPA 201"
"AP Japanese Language and Culture","5","12","JAPA 110, JAPA 201, JAPA 202"
"AP Latin","3","6","LATN 101, LATN 102"
"AP Latin","4","9","LATN 101, LATN 102, LATN 201"
"AP Latin","5","12","LATN 101, LATN 102, LATN 201, LATN 202"
"AP Macroeconomics","3","3","ECON 104"
"AP Macroeconomics","4","3","ECON 104"
"AP Macroeconomics","5","3","ECON 104"
"AP Microeconomics","3","3","ECON 103"
"AP Microeconomics","4","3","ECON 103"
"AP Microeconomics","5","3","ECON 103"
"AP Music Theory","3","3","MUSI 100"
"AP Music Theory","4","3","MUSI 100"
"AP Music Theory","5","3","MUSI 115"
"AP Physics 1","3","4","PHYS 103"
"AP Physics 1","4","8","PHYS 243, PHYS 244, PHYS 245, PHYS 246"
"AP Physics 1","5","8","PHYS 243, PHYS 244, PHYS 245, PHYS 246"
"AP Physics 2","3","4","PHYS 104"
"AP Physics 2","4","8","PHYS 243, PHYS 244, PHYS 245, PHYS 246"
"AP Physics 2","5","8","PHYS 243, PHYS 244, PHYS 245, PHYS 246"
"AP Physics C: Electricity and Magnetism","3","4","PHYS 245, PHYS 246"
"AP Physics C: Electricity and Magnetism","4","4","PHYS 260, PHYS 261"
"AP Physics C: Electricity and Magnetism","5","4","PHYS 260, PHYS 261"
"AP Physics C: Mechanics","3","4","PHYS 243, 244"
"AP Physics C: Mechanics","4","4","PHYS 160, PHYS 161"
"AP Physics C: Mechanics","5","4","PHYS 160, PHYS 161"
"AP Precalculus","3","3","MATH 103T"
"AP Precalculus","4","4","MATH 105"
"AP Precalculus","5","4","MATH 105"
"AP Psychology","3","3","PSYC 100"
"AP Psychology","4","3","PSYC 100"
"AP Psychology","5","3","PSYC 100"
"AP Research","3","3","GENL Elective"
"AP Research","4","3","GENL Elective"
"AP Research","5","3","GENL Elective"
"AP Seminar","3","3","GENL Elective"
"AP Seminar","4","3","GENL Elective"
"AP Seminar","5","3","GENL Elective"
"AP Spanish Language and Culture","3","6","SPAN 110"
"AP Spanish Language and Culture","4","9","SPAN 110, SPAN 201"
"AP Spanish Language and Culture","5","12","SPAN 110, SPAN 201, SPAN 202"
"AP Spanish Literature and Culture","3","3","SPAN L488"
"AP Spanish Literature and Culture","4","3","SPAN L488"
"AP Spanish Literature and Culture","5","3","SPAN L488"
"AP Statistics","3","3","STAT 105T"
"AP Statistics","4","3","STAT 250"
"AP Statistics","5","3","STAT 250 or STAT 260"
"AP United States Government and Politics","3","3","GOVT 103"
"AP United States Government and Politics","4","3","GOVT 103"
"AP United States Government and Politics","5","3","GOVT 103"
"AP United States History","3","3","HIST 121"
"AP United States History","4","6","HIST 121, HIST 122"
"AP United States History","5","6","HIST 121, HIST 122"
"AP World History: Modern","3","3","HIST 125"
"AP World History: Modern","4","6","HIST 125, HIST L387"
"AP World History: Modern","5","6","HIST 125, HIST L387"
