"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","4","3","ARCH 1XXX"
"AP 3-D Art and Design","4","3","ARCH 1XXX"
"AP African American Studies","4","3","HTS 1XXX"
"AP Art History","4","3","ID 2242"
"AP Biology","4","4","BIOL 1107 and BIOS 1107L"
"AP Calculus AB","4","2","MATH 1551"
"AP Calculus BC","4","6","MATH 1551 & MATH 1552"
"AP Chemistry","5","4","CHEM 1310"
"AP Chemistry","4","4","CHEM 1211K"
"AP Chinese Language and Culture","5","9","CHIN 2001 and 2002 and CHIN 3XXX"
"AP Chinese Language and Culture","3","8","CHIN 1001 and CHIN 1002"
"AP Chinese Language and Culture","4","10","CHIN 1002, 2001, and 2002"
"AP Comparative Government and Politics","4","3","INTA 1200"
"AP Computer Science A","4","3","CS 1301"
"AP Computer Science Principles","4","3","CS 1XXX"
"AP English Language and Composition","4","3","ENGL 1101"
"AP English Literature and Composition","4","3","ENGL 1101"
"AP Environmental Science","4","4","EAS 1600"
"AP European History","4","3","HTS 1031"
"AP French Language and Culture","4","9","FREN 1002, 2001, & 2002"
"AP French Language and Culture","5","9","FREN 2001, FREN 2002, & 3XXX"
"AP French Language and Culture","3","6","FREN 1001 & 1002"
"AP German Language and Culture","5","9","GRMN 2001, GRMN 2002, 3XXX"
"AP German Language and Culture","3","6","GRMN 1001 & 1002"
"AP German Language and Culture","4","9","GRMN 1002, 2001, & 2002"
"AP Human Geography","4","3","SS 1XXX"
"AP Japanese Language and Culture","4","10","JAPN 1002, 2001, & 2002"
"AP Japanese Language and Culture","5","9","JAPN 2001, 2002, & 3001"
"AP Japanese Language and Culture","3","8","JAPN 1001 & 1002"
"AP Latin","4","6","LATN 2XXX"
"AP Macroeconomics","4","3","ECON 2105"
"AP Microeconomics","4","3","ECON 2106"
"AP Music Theory","4","3","MUSI 2700"
"AP Physics 1","4","3","PHYS 2XXX"
"AP Physics 2","4","3","PHYS 2XXX"
"AP Physics C: Electricity and Magnetism","5","4","PHYS 2212"
"AP Physics C: Mechanics","5","4","PHYS 2211"
"AP Precalculus","4","","MATH 1113"
"AP Psychology","4","3","PSYC 1101"
"AP Spanish Language and Culture","3","6","SPAN 2001 & SPAN 2002"
"AP Spanish Language and Culture","4","9","SPAN 1002, SPAN 2001, and SPAN 2002"
"AP Spanish Language and Culture","5","9","SPAN 2001, SPAN 2002 and SPAN 3XXX"
"AP United States Government and Politics","4","3","POL 1101"
"AP United States History","4","3","HIST 2111"
"AP World History: Modern","4","3","HTS 1XXX"
