"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP African American Studies","3","3","AFST 1XX"
"AP Art History","5","6","ARTH 251
ARTH 252"
"AP Biology","5","8","BIOL 203,BIOL 203L,BIOL 204,BIOL 204L"
"AP Calculus AB","4","4","MATH 111"
"AP Calculus BC","4","8","MATH 111 & 112"
"AP Calculus BC","3","4","MATH 111"
"AP Chemistry","4","4","CHEM 103, CHEM 103L"
"AP Chemistry","5","8","CHEM 103,CHEM 103L,CHEM Elective,CHEM 254"
"AP Chinese Language and Culture","4","4","CHIN 205"
"AP Chinese Language and Culture","3","4","CHIN 202"
"AP Chinese Language and Culture","5","8","CHIN 205
CHIN 206"
"AP Comparative Government and Politics","4","3","GOVT 203"
"AP Computer Science A","4","4","CSCI 141"
"AP Computer Science Principles","4","3","CSCI 131"
"AP English Language and Composition","3","3","WRIT 101"
"AP English Literature and Composition","3","3","ENGL 1XX"
"AP Environmental Science","4","",""
"AP Environmental Science","5","4","ENSP 101"
"AP European History","5","6","HIST 111
HIST 112"
"AP French Language and Culture","3","3","FREN 206"
"AP French Language and Culture","4","3","FREN 206"
"AP French Language and Culture","5","6","FREN 206
FREN 210"
"AP German Language and Culture","5","6","GRMN 210"
"AP German Language and Culture","3","3","GRMN 202"
"AP German Language and Culture","4","3","GRMN 210"
"AP Human Geography","4","3","GOVT 1XX"
"AP Japanese Language and Culture","4","3","JAPN 1XX"
"AP Japanese Language and Culture","5","4","JAPN 202"
"AP Latin","3","4","LATN 101"
"AP Latin","4","4","LATN 102"
"AP Latin","5","6","LATN 201, LATN 202"
"AP Macroeconomics","4","3","ECON 102"
"AP Microeconomics","4","3","ECON 101"
"AP Music Theory","3","",""
"AP Music Theory","5","4","MUSC 201,MUSC 201L"
"AP Physics 1","5","8","PHYS 107/L & 108/L
"
"AP Physics 2","5","8","PHYS 107/L & 108/L
"
"AP Physics C: Electricity and Magnetism","5","4","PHYS 102 
PHYS 102L"
"AP Physics C: Mechanics","5","4","PHYS 101 
PHYS 101L"
"AP Precalculus","3","3","MATH 103"
"AP Psychology","4","",""
"AP Psychology","5","6","PSYC 201 
PSYC 202"
"AP Spanish Language and Culture","3","3","HISP 202"
"AP Spanish Language and Culture","5","6","HISP 206 
HISP 207"
"AP Spanish Language and Culture","4","3","HISP 206"
"AP Spanish Literature and Culture","5","6","HISP 207
HISP 208"
"AP Spanish Literature and Culture","3","3","HISP 202"
"AP Spanish Literature and Culture","4","3","HISP 207"
"AP Statistics","4","3","MATH 106"
"AP United States Government and Politics","4","3","GOVT 201"
"AP United States History","5","6","HIST 121
HIST 122"
"AP World History: Modern","5","6","HIST 1XX, HIST 192"
