Code,x,y
A1,26.93220339,203.4745763
A2,28.29310345,247.2931035
A3,31.92857143,295.7321429
A4,38.28571429,353.5
A5,44.43636364,408.3272727
A6,61.96551724,517.3103448
A7,65.53571429,625.8571429
A8,84.54716981,713.4339623
B1,103.137931,148.5
B2,113.1754386,209.5614035
B3,123.2931035,262.2931035
B4,130.6727273,323.4363636
B5,140.625,379.625
B6,153.25,464.5714286
B7,158.3214286,570.8214286
B8,180.625,689.625
C1,198.25,104.5714286
C2,206.9298246,149.5263158
C3,216.877193,205.7894737
C4,225.5714286,267.25
C5,233.3214286,325.8214286
C6,243.25,404.5714286
C7,256.9298246,504.5263158
C8,280.625,624.625
D1,304.4912281,75.78947368
D2,313.3214286,125.8214286
D3,323.137931,178.5
D4,331.9655172,237.3103448
D5,340.625,294.625
D6,354.4912281,370.7894737
D7,369.3888889,483.3888889
D8,396.9298246,583.4736842
E1,395.5714286,42.25
E2,406.877193,95.78947368
E3,414.4363636,148.3272727
E4,419.5,207.137931
E5,434.4363636,254.6727273
E6,456.877193,345.7894737
E7,486.9322034,453.4745763
E8,521.9298246,544.5263158
F1,481.9655172,12.31034483
F2,495.5357143,65.85714286
F3,506.9655172,117.3103448
F4,515.625,174.625
F5,534.4912281,232.2105263
F6,570.5357143,325.8571429
F7,606.9285714,420.7321429
F8,618.2931035,517.2931035
